address,name,kind,status,notes
0x000000b0,start_ip,original-symbol,verified,Shipped i960 symbol table record 1; supersedes provisional name boot_entry
0x00000530,make_lay_col_256_tbl_demon,original-symbol,verified,Shipped i960 symbol table record 2; supersedes provisional name frame_shadow_verify
0x000005e8,make_lay_col_256_tbl,original-symbol,verified,Shipped i960 symbol table record 3
0x00000b58,move_data,original-symbol,verified,Shipped i960 symbol table record 4; supersedes provisional name iac_reinitialize_candidate
0x00000bc0,VsyncScr,original-symbol,verified,Shipped i960 symbol table record 5; supersedes provisional name interrupt_save_prefix
0x00000d30,VsyncObj,original-symbol,verified,Shipped i960 symbol table record 6
0x00000d50,Timer,original-symbol,verified,Shipped i960 symbol table record 7
0x00000e10,Other,original-symbol,verified,Shipped i960 symbol table record 8
0x00000e30,IntrHalt,original-symbol,verified,Shipped i960 symbol table record 9
0x00000e60,copro_down,original-symbol,verified,Shipped i960 symbol table record 10
0x00000ea4,cop_initialize,original-symbol,verified,Shipped i960 symbol table record 11
0x00000ed0,geo_func,original-symbol,verified,Shipped i960 symbol table record 12
0x00000f0c,geo_initialize,original-symbol,verified,Shipped i960 symbol table record 13
0x00000f7c,interrupt_wait,original-symbol,verified,Shipped i960 symbol table record 14
0x00000fa0,io_request_chk,original-symbol,verified,Shipped i960 symbol table record 15
0x00001064,read_sw,original-symbol,verified,Shipped i960 symbol table record 16; supersedes provisional name video_register_compose
0x00001200,seclet_command_check,original-symbol,verified,Shipped i960 symbol table record 17
0x00001290,write_sw,original-symbol,verified,Shipped i960 symbol table record 18; supersedes provisional name video_input_latch_write
0x000012bc,init_data_bd_fifo,original-symbol,verified,Shipped i960 symbol table record 19
0x000012d8,read_data_bd_fifo,original-symbol,verified,Shipped i960 symbol table record 20; supersedes provisional name input_ring_poll
0x00001314,write_data_bd_fifo,original-symbol,verified,Shipped i960 symbol table record 21
0x00001344,player_entry,original-symbol,verified,Shipped i960 symbol table record 22
0x00001384,pushed_st1,original-symbol,verified,Shipped i960 symbol table record 23
0x00001438,vs_mode1,original-symbol,verified,Shipped i960 symbol table record 24
0x000014d8,pushed_st2,original-symbol,verified,Shipped i960 symbol table record 25
0x00001598,vs_mode2,original-symbol,verified,Shipped i960 symbol table record 26
0x00001610,check_credit,original-symbol,verified,Shipped i960 symbol table record 27
0x0000245c,coin_current_clear,original-symbol,verified,Shipped i960 symbol table record 28
0x0000281c,chute_setting_check,original-symbol,verified,Shipped i960 symbol table record 29; supersedes provisional name game_state_classify
